Title	Description	Amount	Image-Url
Nơi trú ẩn mới	"Nhiều người đang sống trong những căn lều mục nát, một số thậm chí không có đủ vật liệu để làm tường. Phải hứng chịu mưa gió khắc nghiệt, họ rất cần một nơi ở an toàn.
Items:
Nhà tiền chế 3x4
1 Bồn chứa nước 500 lít
Thực phẩm thiết yếu
1 Ánh sáng mặt trời
1 Quạt năng lượng mặt trời
Những điều cần thiết cho giấc ngủ
Chi phí vận chuyển vật liệu và nhân công

"	46.600.000 - 52.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/new-house.png
Thực Phẩm Thiết Yếu	"Gói ""Thực phẩm thiết yếu"" là một cách đơn giản nhưng hiệu quả để chống lại nạn đói trong cộng đồng của chúng ta.
2 chai Dầu ăn
2 chai Nước tương
2 chai Nước mắm
2 bịch Muối lớn
1kg Đường ngọt
1 bịch Bột ngọt
1 thùng Mì tôm 30 gói
1 bao Gạo 10kg
2 kg Cá khô
2 lốc cá hộp"	1.100.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/new-house.png
Hệ Thống Cấp Nước	"Hãy tưởng tượng gia đình bạn phải dựa vào nước mưa bẩn thu thập từ các vũng nước, biết rằng ngay cả sau khi đun sôi, nó vẫn có nguy cơ gây bệnh. Đây là thực tế hàng ngày đối với vô số dân làng nơi nước sạch khan hiếm. “Hệ thống cung cấp nước” mang nước sạch trực tiếp từ các nguồn trên núi đến 30-40 gia đình (khoảng 200 người).
Items:
Ống mềm dẻo, bền bỉ
Bình đựng nước cho dân làng
Chi phí vận chuyển vật liệu và nhân công"	50.000.000 - 70.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/water-supply-system.png
Đèn Năng Lượng Mặt Trời	"Không có ánh sáng để nhìn, không có cách nào để trẻ em học tập – chỉ có bóng tối hoàn toàn ngoại trừ đèn pin mượn thỉnh thoảng trong trường hợp khẩn cấp. Gói ""Ánh sáng mặt trời"" mang đến nguồn hy vọng, cung cấp ánh sáng thiết yếu và sự an toàn cho cuộc sống của họ.
Items:
1 Ánh sáng mặt trời"	1.200.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/solar-light.png
Hỗ Trợ Không Giới Hạn (Tiền mặt)	"Khoản tiền quyên góp của bạn sẽ giải quyết trực tiếp các nhu cầu cấp thiết như thuốc men, thực phẩm và học phí của trẻ em, mang lại sự cứu trợ ngay lập tức. Mỗi đóng góp, dù lớn hay nhỏ, đều tạo nên sự khác biệt quan trọng."	Bất kì	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cash.png
Nhu Yếu Phẩm Cho Giấc Ngủ	"Hãy tưởng tượng bạn đang cố gắng ngủ trên một chiếc giường làm từ thân cây thô, với không khí lạnh ban đêm len lỏi qua các khe hở trong nơi trú ẩn của bạn. Đối với nhiều gia đình, đây là thực tế khắc nghiệt của họ. Họ thậm chí còn thiếu những tiện nghi cơ bản như chăn ấm hoặc nệm mềm.
Items:
Gối
áo gối
Mền
Mùng
Nệm
Chiếu loại tốt"	1.350.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/beddings.png
Xe Đạp	"Ở những ngôi làng hẻo lánh, cuộc sống hàng ngày là một hành trình được đo bằng hàng dặm đi bộ. Hãy hình dung trẻ em phải đi bộ quãng đường dài đến trường, hoặc người lớn chật vật để đến nơi kiếm sống. Một chiếc xe đạp không chỉ là phương tiện di chuyển; đó là ước mơ sâu sắc về sự tự do, khả năng tiếp cận và cơ hội. Nó mang đến cơ hội để rút ngắn những khoảng cách lớn, mở cánh cửa giáo dục, đến được nơi làm việc và kết nối với thế giới rộng lớn hơn, biến khó khăn thành con đường dẫn đến một tương lai tươi sáng hơn."	2.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/bicycle.png
Thùng đựng nước	"Hãy hình dung hành trình hàng ngày, thường là nhiều dặm, chỉ để lấy nước. Đối với vô số người dân làng, đây là một thực tế khắc nghiệt, càng trở nên khó khăn hơn do thiếu các dụng cụ đựng nước phù hợp. Họ buộc phải dựa vào những chai nước uống nhỏ, thường bẩn thỉu, đã qua sử dụng—những vật chứa mong manh khiến những chuyến đi dài, quý giá trở nên không thực tế và không đủ cho nhu cầu hàng ngày của gia đình như nấu ăn, uống và giặt giũ. Ước muốn thầm lặng của họ là có được những dụng cụ đựng nước an toàn, đầy đủ có thể giảm bớt gánh nặng to lớn này, biến những hành trình gian khổ thành những công việc có thể quản lý được, và mang lại phẩm giá đơn giản của nguồn nước sạch, đủ dùng vào ngôi nhà của họ."	35.000 - 40.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/water-container.png
Bạt Che	"Hãy tưởng tượng một gia đình trú ẩn dưới những cành cây và mảnh vụn yếu ớt, dễ bị ảnh hưởng bởi nắng, mưa và gió khắc nghiệt. Đối với họ, ngay cả nơi trú ẩn cơ bản cũng là một thách thức liên tục; thu nhập hạn hẹp của họ hầu như không đủ trang trải thức ăn, chứ đừng nói đến một mái nhà ổn định.
Items:
1 Bạt"	500.000-1.500.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/tarp.png
Quạt Năng Lượng Mặt Trời	"Sự quyên góp của bạn sẽ cung cấp một chiếc quạt chạy bằng năng lượng mặt trời, giúp xua tan cái nóng thiêu đốt và xua đuổi muỗi gây phiền nhiễu.
Items:
1 Quạt năng lượng mặt trời
"	2.200.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/solar-fan.png
Đồ dùng nhà bếp	"Nếu không có các dụng cụ nhà bếp cơ bản, mỗi bữa ăn đều là một cuộc đấu tranh. Các gia đình gặp khó khăn trong việc đun sôi nước, nấu các món ăn đơn giản hoặc phục vụ bữa ăn một cách an toàn.
Items:
1 Nồi lớn
1 Nồi vừa
1 Nồi nhỏ
Combo 10 chén inox
Combo 3 thau inox
Chảo nhôm chống dính
Muỗng inox
Đũa inox
Thau nhựa giặt đồ
Bộ dao"	2.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/kitchenware.png
Chuồng Gà	"Bằng cách cung cấp phương tiện nuôi gà, bạn không chỉ cung cấp nguồn protein quan trọng; bạn còn giúp họ nuôi sống gia đình và tạo ra tương lai bền vững bằng cách bán thêm trứng hoặc gà.
Items:
10 con gà (gà 40kg)
Lúa cho gà
2 trụ dự trữ nước cho gà uống
Kích thước cao 1,5m và ngang 1,6m
Vật liệu xây dựng
Lao động xây dựng được tặng
"	9.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/chicken-coop.png
Giường Xếp	"Hãy tưởng tượng ngủ trực tiếp trên đất cứng, lạnh hoặc bê tông, tiếp xúc với độ ẩm, côn trùng và cái lạnh của đêm. Đối với nhiều gia đình cực kỳ nghèo đói, đây là thực tế khắc nghiệt của họ. Ngoài sự thoải mái cơ bản, độ cao nhỏ này cũng có thể làm giảm đáng kể chứng đau lưng mãn tính do ngủ trên bề mặt không bằng phẳng, không hỗ trợ.
Items:
1 chiếc giường
"	1.450.000 - 2.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/portable-bed.png
Bếp Nấu Ăn Di Động	"Gói “Lò nấu” cung cấp giải pháp đơn giản nhưng có thể thay đổi cuộc sống cho những người dân làng nghèo hiện đang phải dựa vào cách nấu ăn thô sơ và không an toàn trên lửa, hoặc phải vật lộn để giữ thăng bằng cho nồi trên những tảng đá không bằng phẳng.
Items:
1 Lò nấu
"	₫350	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cooking-stove.png
Bò Sinh Kế	"Việc bạn hào phóng tặng một con bò sẽ mở ra con đường thoát khỏi cảnh nghèo đói cùng cực, mang lại thu nhập trong tương lai và cơ hội cho một tương lai tươi sáng hơn.
Items:
1 con bò
"	15.000.000-25.000.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cow.png
Thức ăn & đồ dùng thiết yếu cho bé	"Thức ăn bổ dưỡng thường là một thứ xa xỉ, và em bé của cô ấy phụ thuộc vào cháo gạo cơ bản. Gói thực phẩm và đồ dùng thiết yếu cho trẻ sơ sinh cung cấp hỗ trợ quan trọng bằng cách cung cấp dinh dưỡng thiết yếu và nhu yếu phẩm cho những trẻ sơ sinh dễ bị tổn thương này.
Items:
Sữa bột
Tả bọc cho bé
Dụng cụ ăn
Khăn sơ sinh
Đồ sơ sinh
Sữa tắm"	2.000.000 - 2.500.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/baby-essentials-VN.png
Sự Kiện Bữa Trưa Cộng Đồng	"Sự đóng góp của bạn sẽ giúp tổ chức một bữa ăn miễn phí, bổ dưỡng, giúp cộng đồng xích lại gần nhau hơn để kết nối và chia sẻ.
Items:
1 phần thức ăn (40.000 đ)
1 Chai nước (10.000 đ)"	Tùy thuộc vào số lượng bữa trưa	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/community-lunch.png
Đồ dùng thiết yếu cho gia đình	"Hãy tưởng tượng một gia đình không có gì ngoài sàn nhà trống trơn. “Những vật dụng thiết yếu trong gia đình” bao gồm một chiếc bàn nhựa để dùng bữa chung, ghế cho những người mệt mỏi và một tủ quần áo để cất giữ những vật dụng có giá trị ít ỏi của họ.
Items:
1 Bàn nhựa
2 Ghế nhựa
1 Tủ quần áo
"	2.300.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/furnitures.png
Sự Kiện Cứu Trợ Thực Phẩm Cộng Đồng	"Một ngày tràn ngập niềm vui khi người dân từ các làng miền núi tụ họp để nhận thực phẩm thiết yếu. Hiện tại, bữa ăn thường ngày của họ thường chỉ là cháo gạo với một ít rau hoặc muối. Sự đóng góp của bạn sẽ trực tiếp cung cấp những túi thực phẩm bổ dưỡng. Điều này sẽ mang lại sự nhẹ nhõm và niềm vui ngay lập tức cho nhiều cá nhân và gia đình đang phải vật lộn với tình trạng nghèo đói cùng cực. Hãy tham gia nỗ lực chung mạnh mẽ này để tạo ra sự khác biệt đáng kể trong cuộc sống của họ vào ngày đặc biệt này.
Items:
Gói hàng có thể được thiết kế riêng với nguồn cung cấp thực phẩm cơ bản (300.000 ₫ - 500.000 ₫)."	Phụ thuộc vào số lượng gói	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/community-food-supplies.png
Chăm sóc thiết yếu	"Một đôi tất ấm, một bộ sơ cứu đơn giản—những thứ nhỏ bé này, thường bị coi là đương nhiên, có thể có ý nghĩa vô cùng to lớn đối với một người sống trong cảnh nghèo đói cùng cực.
Items:
Ủng
Xà phòng tắm gội
5 chiếc Bàn chải 
Kem đánh răng
10 đôi Vớ
10 đôi Găng tay
Ba lô
Bộ sơ cứu y tế"	1.450.000 ₫	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/essential-care-VN.png
New Shelter	"Many are living in decaying tents, some without even enough material for walls. Exposed to harsh rain and wind, they desperately need safe housing.
Items:
3x4 prefabricated house.
1 500 liter water tank
Essential foods
1 Solar Light
1 Solar Fan
Essentials for Sleep
Materials transportation and labor costs"	"$1,791 - $2,000"	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/new-house.png
Essential Foods	"The ""Food Essentials"" package is a simple yet powerful way to fight hunger in our community.
Items:
2 bottles of cooking oil
2 bottles of soy sauce
2 bottles of fish sauce
2 large bags of salt
1kg Sugar
1 bag of MSG
1 box of instant noodles, 30 packs
1 bag of rice, 10kg
2 kg Dried fish
2 packs of canned fish"	$43.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/new-house.png
Water Supply System	"Imagine your family having to rely on dirty rainwater collected from puddles, knowing that even after boiling it, it still poses a risk of illness. This is the daily reality for countless villagers where clean water is scarce. The “Water Supply System” brings clean water directly from mountain sources to 30-40 families (about 200 people).
Items:
Flexible, Durable Pipes
Water Container for Villagers
Cost of transportation of materials and labor"	"$1,922 - $2,691"	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/water-supply-system.png
Solar Light	"No light to see by, no way for kids to study – just total darkness except for the occasional borrowed flashlight for emergencies. The ""Solar Light"" package offers a source of hope, providing essential light and safety to their lives.
Items:
1 Solar Light"	$47.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/solar-light.png
Unrestricted Support (Cash)	"Your donation will directly address urgent needs such as medicine, food and children's school fees, providing immediate relief. Every contribution, no matter how big or small, makes a vital difference."	Any	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cash.png
Essentials for Sleep	"Picture trying to sleep on a bed of rough tree trunks, with cold night air seeping through the gaps in your shelter. For many families, this is their harsh reality. They lack even basic comforts like a warm blanket or soft mattress.
Items:
Pillows
Pillowcases
Blanket
Mosquito net
Mattress
Good quality mat"	$53.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/beddings.png
Bicycle	"In isolated villages, everyday life is a journey measured in miles of walking. Imagine children trekking long distances to school, or adults struggling to reach their livelihoods. A bicycle isn't just transportation; it's a profound dream of freedom, access, and opportunity. It offers the chance to bridge vast distances, unlock education, reach work, and connect with a wider world, transforming hardship into a pathway for a more hopeful future."	$77.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/bicycle.png
Water Containers	"Imagine the daily trek, often for miles, just to secure water. For countless villagers, this is a grueling reality, made even harder by the lack of proper containers. They are forced to rely on small, often dirty, discarded drinking bottles—fragile vessels that make the long, precious trips impractical and insufficient for their family's daily needs like cooking, drinking, and washing. Their silent wish is for safe, adequate containers that could ease this immense burden, transform arduous journeys into manageable tasks, and bring the simple dignity of clean, sufficient water into their homes."	$2.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/water-container.png
Tarpaulin	"Picture a family sheltering under weak branches and scraps, vulnerable to harsh sun, rain, and wind. For them, even basic shelter is a constant challenge; their limited income barely covers food, much less a stable roof.
Items:
1 Tarpaulin"	$20 - $58	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/tarp.png
Solar Fan	"Your donation will provide a solar-powered fan, which will help beat the scorching heat and keep pesky mosquitoes away.
Items:
1 Solar Fan"	$85.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/solar-fan.png
Kitchenware	"Without basic kitchen tools, every meal is a struggle. Families have difficulty boiling water, cooking simple foods, or serving meals safely.
Items:
1 Large pot
1 Medium pot
1 Small pot
Combo of 10 stainless steel cups
Combo of 3 stainless steel basins
Non-stick aluminum pan
Stainless steel spoon
Stainless steel chopsticks
Plastic laundry basin
Knife set"	$77.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/kitchenware.png
Chicken Coop	"Imagine the profound impact of not just receiving food, but having the means to produce it yourself. For families striving for self-sufficiency, a simple chicken coop embodies a powerful dream. It's the silent wish for a reliable source of protein to nourish growing children and strengthen the family, transforming uncertainty into daily sustenance. Beyond immediate needs, it offers the profound hope of a sustainable future: the potential to sell extra eggs or chickens, creating a small, vital income that can unlock new opportunities and build lasting stability.
Items:
10 - 15 chickens (30kg - 40kg)
Chicken Feed
2 water storage posts for chickens to drink"	$350.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/chicken-coop.png
Cot	"Envision sleeping directly on cold, hard dirt or concrete, exposed to dampness, bugs, and the night's chill. For many families in extreme poverty, this is their tough reality.  Beyond basic comfort, this slight elevation can also significantly reduce chronic back pain caused by sleeping on uneven, unsupportive surfaces. 
Items:
1 cot"	$56 - $77	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/portable-bed.png
Portable Cooking Oven	"The “Cooking Oven” package provides a simple yet life-changing solution for poor villagers who currently rely on rudimentary and unsafe open-fire cooking, or the struggle of balancing pots on uneven rocks.
Items:
1 Cooking Oven"	$14.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cooking-stove.png
Livelihood Cow	"Your generous donation of a cow opens a sustainable path out of extreme poverty, providing future income and opportunity for a brighter future.
Items:
1 Cow"	$577 - $961	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/cow.png
Baby Food & Essentials	"Nutritious food is often a luxury, and her baby relies on basic rice porridge. The Baby Food & Essentials Pack offers critical support by providing vital nutrition and necessities for these vulnerable newborns.
Items: 
Milk Powder
Diapers
Feeding Utensils
Baby Towels
Baby Products
Bath Milk"	$77 - $97	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/baby-essentials-EN.png
Community Lunch Event	"Your contribution will help organize a free, nutritious meal, bringing the community closer together to connect and share.
Items:
1 Food Plate ($1.60)
1 Water bottle ($.40)"	Depends on the number of lunches	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/community-lunch.png
Household Essentials	"Imagine a family with nothing but a bare floor. The “household essentials” provide a plastic table for shared meals, chairs for those who are tired, and a closet to keep their few valuable possessions safe.
Items:
1 Plastic table
2 Plastic chair
1 Dresser"	$89.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/furnitures.png
Community Food Relief Event	"A day filled with happiness as people from the mountain villages gather to receive essential food. Right now, their usual meal is often just plain rice porridge with some vegetables or salt. Your contribution will directly provide bags of nourishing food. This will bring immediate relief and joy to many individuals and families struggling with extreme poverty and hunger. Join this powerful group effort to make a significant difference in their lives on this special day.
Items:
The package can be custom-built with basic food supplies ($12 - $20)."	Depends on how many packages	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/community-supplies.png
Essential Care	"A warm pair of socks, a simple first aid kit—these little things, often taken for granted, can mean a world of difference to someone living in extreme poverty.
Items:
Boots
Bath soap
5 pcs Toothbrush
Toothpaste
10 pairs Socks
10 pairs Gloves
Backpack
First aid kit"	$56.00	https://raw.githubusercontent.com/CentralPortal/TienNguyenTV/main/images/essential-care-EN.png